"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-960613556985422","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/29/20","4:20 PM","35.71","0","2.99","3.00","7.65","49.35","-9.68","0","-1.81","0","0"
"O-721513513093014","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/25/20","1:53 PM","48.50","0","6.99","4.30","10.34","70.13","-13.87","0","-2.44","0","0"
"O-769413553845181","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/28/20","9:38 PM","40.22","0","6.99","3.66","10.17","61.04","-11.80","0","-2.16","0","0"
"O-028113361518095","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/9/20","5:37 PM","41.44","0","0.00","3.21","0","44.65","-10.36","0","-1.66","0","0"
"O-413013477625025","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/20/20","6:28 PM","51.44","0","1.99","4.14","8.64","66.21","-13.36","0","-2.32","0","0"
"O-283313374540069","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/11/20","12:15 PM","19.08","0","0.00","1.01","0","20.09","-4.77","0","-0.73","0","-6.00"
"O-208813408333784","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/13/20","5:57 PM","44.93","0","1.99","3.63","5.06","55.61","-11.73","0","-2.00","0","0"
"O-872813475877615","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/20/20","5:36 PM","50.94","0","0.00","3.95","5.49","60.38","-12.74","0","-2.14","0","0"
"O-117713336396159","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/6/20","9:16 PM","10.99","0","0.00","0.85","1.18","13.02","-2.75","0","-0.70","0","0"
"O-506613472115630","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/21/20","11:56 AM","54.97","0","0.00","4.26","0","59.23","-13.74","0","-2.11","0","0"
"O-354713436683881","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/16/20","4:59 PM","17.71","0","0.00","1.37","0","19.08","-4.43","0","-0.88","0","0"
"O-021713520385253","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/25/20","8:17 PM","38.72","0","4.99","3.39","4.71","51.81","-10.93","0","-1.88","0","0"
"O-834013552890735","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/28/20","6:31 PM","43.47","0","1.99","3.52","8.00","56.98","-11.37","0","-2.04","0","0"
"O-508113506754364","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/23/20","7:12 PM","27.97","0","1.99","2.32","3.00","35.28","-7.49","0","-1.38","0","0"
"O-939913568321631","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/29/20","7:38 PM","21.98","0","0.00","1.70","3.55","27.23","-5.50","0","-1.13","0","0"
"O-144113305819341","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/3/20","6:39 PM","18.94","0","0.00","1.47","0","20.41","-4.74","0","-0.92","0","0"
"O-794913306661455","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/3/20","7:08 PM","32.97","0","0.00","2.56","5.32","40.85","-8.24","0","-1.55","0","0"
"O-511713408753810","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/13/20","6:15 PM","43.21","0","1.99","3.50","7.00","55.70","-11.30","0","-2.00","0","0"
"O-654413280962577","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/1/20","7:11 PM","23.98","0","0.00","1.86","2.00","27.84","-6.00","0","-1.15","0","0"
"T-AwAAD06i40YL8CKsEeus7mtfuNNiIQ","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","72431334-0983229  - AA","11/9/20","8:59 AM","0","0","0.00","0.00","0","1.00","0","0","0","0","0"
"O-521213500663333","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/23/20","6:29 PM","28.05","0","0.00","2.17","6.04","36.26","-7.01","0","-1.41","0","0"
"O-594513466907252","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/19/20","7:19 PM","27.98","0","1.99","2.32","4.84","37.13","-7.49","0","-1.43","0","0"
"O-894213389240967","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/12/20","12:55 PM","34.97","0","8.99","3.41","4.69","52.06","-10.99","0","-1.89","0","0"
"O-810313340885697","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/20","6:30 PM","28.34","0","6.99","2.27","4.43","42.03","-8.83","0","-1.40","0","-6.00"
"O-506613462161517","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/20/20","4:22 PM","38.96","0","6.99","3.56","2.00","51.51","-11.49","0","-1.87","0","0"
"O-769413503860514","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/24/20","12:59 PM","24.98","0","4.99","2.33","4.85","37.15","-7.49","0","-1.43","0","0"
"O-990313479529111","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/20/20","8:15 PM","22.98","0","0.00","1.78","2.48","27.24","-5.75","0","-1.13","0","0"
"O-939913558321763","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/28/20","7:05 PM","56.70","0","0.00","4.39","5.00","66.09","-14.18","0","-2.32","0","0"
"O-467813294124827","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/2/20","5:37 PM","52.96","0","4.99","4.49","0","62.44","-14.49","0","-2.20","0","0"
"O-024713542648058","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/27/20","7:25 PM","38.71","0","2.99","3.23","6.00","50.93","-10.43","0","-1.85","0","0"
"O-810313340882308","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/7/20","4:51 PM","39.96","0","6.99","3.17","5.01","55.13","-11.74","0","-1.80","0","-6.00"
"O-991713304716652","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/3/20","6:35 PM","24.73","0","1.99","1.60","5.66","33.98","-6.68","0","-1.15","0","-6.00"
"O-865213578160500","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/30/20","8:33 PM","43.71","0","8.99","4.09","8.51","65.30","-13.18","0","-2.29","0","0"
"O-195313365590617","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/9/20","5:23 PM","46.45","0","2.99","3.83","7.99","61.26","-12.36","0","-2.17","0","0"
"O-594513466901253","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/19/20","5:51 PM","34.97","0","1.99","2.86","5.00","44.82","-9.24","0","-1.67","0","0"
"O-273813525102680","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/25/20","9:21 PM","27.73","0","8.99","2.85","5.94","45.51","-9.18","0","-1.69","0","0"
