"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-973818127828619","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/28/22","6:33 PM","42.34","4.99","0","3.05","6.58","56.96","-7.10","0","-1.79","0","-8.00"
"O-961517982871753","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/14/22","8:31 PM","19.96","4.99","0","1.94","0","26.89","-3.74","0","-1.12","0","0"
"O-126917930228117","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/10/22","1:10 PM","12.98","0.00","0","1.01","0","13.99","-1.95","0","-0.73","0","0"
"O-126918000229657","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/17/22","1:13 PM","15.03","2.99","0","1.39","2.43","21.84","-2.70","0","-0.97","0","0"
"O-731817993143555","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/16/22","5:15 PM","269.96","19.99","0","22.47","10.00","322.42","-50.74","0","-10.13","0","0"
"O-719617860198496","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/3/22","2:00 PM","23.98","0.00","0","1.24","0","25.22","-3.60","0","-0.83","0","-8.00"
"O-973818087828806","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/24/22","6:02 PM","23.85","6.99","0","1.77","3.76","36.37","-4.63","0","-1.17","0","-8.00"
"T-AwEAAAAAAA9OoonUveCPcRHsi3Yd1xg2bxQ","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","77491793-6368818 KC","2/16/22","1:43 PM","0","0.00","0","0.00","0","13.72","0","0","0","0","0"
"O-663917889151845","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/5/22","11:54 AM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-685618103321085","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/26/22","5:13 PM","33.06","0.00","0","2.56","0","35.62","-4.96","0","-1.39","0","0"
"O-774917936368818","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/9/22","5:49 PM","61.60","4.99","0","5.16","6.58","78.33","-9.99","0","-2.69","0","0"
"O-558418002375193","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/16/22","5:19 PM","88.46","4.99","0","7.25","6.58","107.28","-14.02","0","-3.57","0","0"
"O-851618078412968","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/24/22","4:30 PM","24.96","0.00","0","1.93","1.11","28.00","-3.74","0","-1.15","0","0"
"O-514518005989042","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/16/22","6:56 PM","33.96","2.99","0","2.86","7.96","47.77","-5.54","0","-1.76","0","0"
"O-874117940999396","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/10/22","5:58 PM","31.97","8.99","0","3.18","4.41","48.55","-6.14","0","-1.78","0","0"
"O-595018116942308","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/27/22","5:35 PM","52.69","0.00","0","4.08","0","56.77","-7.90","0","-2.03","0","0"
"O-753318040921550","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/20/22","8:54 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-980117935768681","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/10/22","1:00 PM","26.44","0.00","0","2.05","5.69","34.18","-3.97","0","-1.34","0","0"
"O-129417863028735","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/3/22","1:00 PM","34.98","1.99","0","2.86","1.00","40.83","-5.55","0","-1.55","0","0"
"O-949417889894658","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/4/22","4:44 PM","52.16","0.00","0","4.04","0","56.20","-7.82","0","-2.01","0","0"
"O-731817973142039","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/15/22","11:00 AM","259.99","29.99","0","22.47","15.00","327.45","-50.75","0","-10.29","0","0"
