Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,O-477729222952345,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/14/25,"7:26 PM PDT, UTC-07:00",50.32,0,0,0,n/a,3.9,0,0,54.22,-7.55,n/a,-5.03,-1.95,0,0,0,n/a
MARKETPLACE,O-791929706338002,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/02/25,"5:51 PM PDT, UTC-07:00",37.98,8.99,0,0,n/a,3.02,0,8.38,58.37,-7.05,n/a,0,-1.84,0,0,-8,n/a
MARKETPLACE,O-825829443420812,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/05/25,"7:20 PM PDT, UTC-07:00",42.45,0,0,0,n/a,3.29,0,0,45.74,-6.37,n/a,-4.25,-1.7,0,0,0,n/a
MARKETPLACE,O-577028595249896,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/10/25,"6:40 PM PST, UTC-08:00",20.24,6.99,0,0,n/a,1.49,0,2.15,30.87,-4.08,n/a,0,-1,0,0,-8,n/a
MARKETPLACE,O-166328669155300,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/18/25,"12:38 PM PST, UTC-08:00",29.98,0,0,0,n/a,2.32,0,0,32.3,-4.5,n/a,-3,-1.29,0,0,0,n/a
MARKETPLACE,O-378028587106982,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/10/25,"12:33 PM PST, UTC-08:00",15.98,0,0,0,n/a,1.24,0,0,17.22,-2.4,n/a,-1.6,-0.83,0,0,0,n/a
MARKETPLACE,O-085328654783228,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/17/25,"12:46 PM PST, UTC-08:00",38.46,2.99,0,0,n/a,3.21,0,6.53,51.19,-6.22,n/a,0,-1.86,0,0,0,n/a
MARKETPLACE,O-752129498424275,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/11/25,"11:36 AM PDT, UTC-07:00",54.71,1.99,0,0,n/a,4.39,0,3,64.09,-8.51,n/a,0,-2.25,0,0,0,n/a
MARKETPLACE,O-860130206099878,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,06/21/25,"11:21 AM PDT, UTC-07:00",79.79,0,0,0,n/a,6.18,0,0,85.97,-11.97,n/a,0,-2.92,0,0,0,n/a
MARKETPLACE,O-180029255504164,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/18/25,"5:10 PM PDT, UTC-07:00",27.98,8.99,0,0,n/a,2.87,0,2,41.84,-5.55,n/a,0,-1.58,0,0,0,n/a
MARKETPLACE,O-554329794241070,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/10/25,"6:40 PM PDT, UTC-07:00",23.99,8.99,0,0,n/a,2.56,0,4.07,39.61,-4.95,n/a,0,-1.51,0,0,0,n/a
MARKETPLACE,O-865728765366503,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/28/25,"12:29 PM PST, UTC-08:00",38.46,2.99,0,0,n/a,3.21,0,6.53,51.19,-6.22,n/a,0,-1.86,0,0,0,n/a
MARKETPLACE,O-422629888957177,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/20/25,"5:45 PM PDT, UTC-07:00",34.98,8.99,0,0,n/a,3.41,0,5.94,53.32,-6.6,n/a,0,-1.93,0,0,0,n/a
MARKETPLACE,O-709630003298560,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,06/01/25,"11:57 AM PDT, UTC-07:00",48.98,6.99,0,0,n/a,3.72,0,2,61.69,-8.4,n/a,0,-1.94,0,0,-8,n/a
MARKETPLACE,O-232129585651155,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/19/25,"8:39 PM PDT, UTC-07:00",28.98,4.99,0,0,n/a,2.64,0,3,39.61,-5.1,n/a,0,-1.51,0,0,0,n/a
MARKETPLACE,O-061029406039646,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/01/25,"6:40 PM PDT, UTC-07:00",38.46,2.99,0,0,n/a,3.21,0,6.53,51.19,-6.22,n/a,0,-1.86,0,0,0,n/a
MARKETPLACE,O-668928814591962,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/02/25,"1:52 PM PST, UTC-08:00",27.98,2.99,0,0,n/a,2.4,0,4.75,38.12,-4.65,n/a,0,-1.46,0,0,0,n/a
MARKETPLACE,O-012630278098870,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,06/27/25,"5:59 PM PDT, UTC-07:00",49.46,8.99,0,0,n/a,3.91,0,8.24,70.6,-8.77,n/a,0,-2.21,0,0,-8,n/a
