"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-834215560236405","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/17/21","8:08 PM","11.99","0","0.00","0.93","1.93","14.85","-3.00","0","-0.75","0"
"O-435915587839241","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/19/21","6:26 PM","42.75","0","2.99","3.54","5.00","54.28","-11.44","0","-1.96","0"
"O-368815516141528","Aroma Pizza & Pasta - Alton Pkwy","Cash Order",,"6/12/21","8:01 PM","13.48","0","0.00","1.04","0","14.52","-3.37","0","0","0"
"O-402415467706314","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/7/21","8:18 PM","18.94","0","4.99","1.86","10.00","35.79","-5.98","0","-1.39","0"
"O-993515640541834","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/25/21","7:25 PM","36.97","0","8.99","3.57","4.95","54.48","-11.49","0","-1.96","0"
"O-854415446462454","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/5/21","7:50 PM","39.97","0","6.99","3.64","7.59","58.19","-11.74","0","-2.07","0"
"O-316815599949384","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/20/21","7:05 PM","34.96","0","1.99","2.86","5.00","44.81","-9.24","0","-1.67","0"
"O-369315545112722","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/15/21","6:45 PM","49.97","0","0.00","3.87","0","53.84","-12.49","0","-1.94","0"
"O-706215590585730","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/22/21","5:45 PM","45.47","0","6.99","4.06","8.48","65.00","-13.12","0","-2.28","0"
"O-233715640761718","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/25/21","8:30 PM","59.22","0","4.99","4.98","10.38","79.57","-16.05","0","-2.73","0"
"O-435915577859730","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/19/21","2:06 PM","16.98","0","6.99","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-855715470879622","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/9/21","6:00 PM","93.91","0","0.00","7.28","15.17","116.36","-23.48","0","-3.85","0"
"O-953715646540221","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/25/21","8:04 PM","34.85","0","1.99","2.85","5.63","45.32","-9.21","0","-1.68","0"
"O-207215698353767","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/30/21","6:09 PM","21.73","0","4.99","2.07","5.76","34.55","-6.68","0","-1.35","0"
"O-307615547069659","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/15/21","7:45 PM","20.48","0","6.99","2.13","3.31","32.91","-6.87","0","-1.30","0"
"O-076615679586261","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/29/21","3:41 PM","18.97","0","0.00","1.47","0","20.44","-4.74","0","-0.92","0"
"O-517015402709436","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/2/21","12:09 PM","64.59","0","1.99","5.16","12.00","83.74","-16.65","0","-2.85","0"
"T-AwEAAAAAAA9OovFjndDYIRHrlKMZ-jy_9No","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","81251566-2556730 - AR","6/28/21","8:03 AM","0","0","0.00","0.00","0","16.98","0","0","0","0"
"O-912915570216690","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/18/21","6:16 PM","18.98","0","0.00","1.47","2.05","22.50","-4.75","0","-0.99","0"
"O-305715441863387","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/6/21","5:15 PM","19.28","0","0.00","1.49","3.11","23.88","-4.82","0","-1.03","0"
"O-994115459302533","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/6/21","6:45 PM","39.75","0","4.99","3.47","8.57","56.78","-11.19","0","-2.03","0"
"O-893215582396509","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/19/21","6:18 PM","38.96","0","4.99","3.41","9.47","56.83","-10.99","0","-2.03","0"
"O-702515547705847","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/15/21","6:14 PM","38.14","0","1.99","3.11","5.00","48.24","-10.03","0","-1.77","0"
"O-960215595782383","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/21/21","2:29 PM","26.97","0","6.99","2.63","4.36","40.95","-8.49","0","-1.55","0"
"O-719315581020848","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/19/21","6:59 PM","20.96","0","8.99","2.32","6.45","38.72","-7.49","0","-1.48","0"
"O-233715640763038","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/25/21","8:51 PM","15.98","0","6.99","1.78","2.48","27.23","-5.74","0","-1.13","0"
